Channel,net counts,Counts(w),Counts(wo),N=2
1283,1,3,1,
1284,-3,3,3,
1285,0,0,0,
1286,4,4,0,
1287,5,5,0,
1288,0,0,0,
1289,2,2,0,
1290,2,4,1,
1291,1,1,0,
1292,-1,1,1,
1293,1,1,0,
1294,-7,1,4,
1295,-6,0,3,
1296,3,3,0,
1297,-1,1,1,
1298,0,2,1,
1299,1,3,1,
1300,1,1,0,
1301,0,0,0,
1302,1,3,1,
1303,-2,0,1,
1304,2,2,0,
1305,1,3,1,
1306,-3,3,3,
1307,4,4,0,
1308,0,0,0,
1309,-1,1,1,
1310,1,1,0,
1311,-2,0,1,
1312,-5,1,3,
1313,0,2,1,
1314,4,4,0,
1315,-5,1,3,
1316,0,0,0,
1317,-1,1,1,
1318,1,1,0,
1319,0,2,1,
1320,0,0,0,
1321,-2,2,2,
1322,3,3,0,
1323,1,3,1,
1324,0,0,0,
1325,5,5,0,
1326,1,1,0,
1327,2,2,0,
1328,3,3,0,
1329,1,3,1,
1330,2,4,1,
1331,-1,3,2,
1332,-1,3,2,
1333,0,2,1,
1334,3,3,0,
1335,-2,0,1,
1336,2,2,0,
1337,0,0,0,
1338,2,4,1,
1339,1,1,0,
1340,3,3,0,
1341,2,2,0,
1342,1,3,1,
1343,2,2,0,
1344,2,2,0,
1345,-4,2,3,
1346,2,2,0,
1347,4,4,0,
1348,1,5,2,
1349,1,1,0,
1350,7,7,0,
1351,4,4,0,
1352,-1,1,1,
1353,3,3,0,
1354,-4,2,3,
1355,-2,2,2,
1356,-1,3,2,
1357,1,3,1,
1358,0,2,1,
1359,2,4,1,
1360,-2,0,1,
1361,1,3,1,
1362,3,3,0,
1363,2,2,0,
1364,-1,1,1,
1365,2,2,0,
1366,-4,0,2,
1367,-5,1,3,
1368,4,4,0,
1369,4,4,0,
1370,-2,2,2,
1371,0,2,1,
1372,1,1,0,
1373,1,3,1,
1374,1,3,1,
1375,-4,0,2,
1376,2,2,0,
1377,-4,2,3,
1378,-4,2,3,
1379,0,2,1,
1380,5,5,0,
1381,1,5,2,
1382,5,5,0,
1383,1,3,1,
1384,-8,2,5,
1385,2,4,1,
1386,4,4,0,
1387,0,2,1,
1388,0,2,1,
1389,3,3,0,
1390,1,3,1,
1391,3,3,0,
1392,-2,2,2,
1393,4,4,0,
1394,2,2,0,
1395,0,2,1,
1396,4,4,0,
1397,2,2,0,
1398,-2,0,1,
1399,2,2,0,
1400,1,3,1,
1401,-5,1,3,
1402,-2,2,2,
1403,1,1,0,
1404,-1,1,1,
1405,2,2,0,
1406,2,4,1,
1407,-1,1,1,
1408,-2,0,1,
1409,2,2,0,
1410,0,2,1,
1411,-2,2,2,
1412,-3,1,2,
1413,-1,3,2,
1414,3,5,1,
1415,-2,2,2,
1416,0,2,1,
1417,-2,2,2,
1418,0,2,1,
1419,0,4,2,
1420,2,2,0,
1421,2,4,1,
1422,-6,2,4,
1423,0,4,2,
1424,1,3,1,
1425,3,3,0,
1426,2,4,1,
1427,-4,0,2,
1428,-3,1,2,
1429,1,1,0,
1430,-5,1,3,
1431,3,5,1,
1432,-6,4,5,
1433,-1,3,2,
1434,2,2,0,
1435,-5,1,3,
1436,2,4,1,
1437,0,2,1,
1438,3,3,0,
1439,-5,1,3,
1440,0,2,1,
1441,2,4,1,
1442,0,2,1,
1443,-4,2,3,
1444,-2,2,2,
1445,3,3,0,
1446,1,1,0,
1447,0,2,1,
1448,1,1,0,
1449,4,4,0,
1450,1,3,1,
1451,6,6,0,
1452,3,5,1,
1453,1,3,1,
1454,-4,0,2,
1455,-3,1,2,
1456,-5,1,3,
1457,-2,2,2,
1458,-2,2,2,
1459,0,2,1,
1460,-3,1,2,
1461,-2,2,2,
1462,-1,1,1,
1463,0,0,0,
