Channel,net Counts,Counts(w),Counts(wo),N=1.1586
1262,0,2,2,
1263,2,3,1,
1264,0,3,3,
1265,0,1,1,
1266,6,6,0,
1267,1,7,5,
1268,0,2,2,
1269,-5,1,5,
1270,4,4,0,
1271,-7,1,7,
1272,3,3,0,
1273,0,2,2,
1274,3,5,2,
1275,2,2,0,
1276,-4,1,4,
1277,4,7,3,
1278,-1,1,2,
1279,-1,2,3,
1280,2,3,1,
1281,-1,2,3,
1282,2,3,1,
1283,0,2,2,
1284,0,5,4,
1285,5,6,1,
1286,2,3,1,
1287,-1,1,2,
1288,1,2,1,
1289,1,3,2,
1290,2,2,0,
1291,1,3,2,
1292,2,3,1,
1293,1,3,2,
1294,-6,0,5,
1295,1,3,2,
1296,1,3,2,
1297,0,3,3,
1298,2,4,2,
1299,1,2,1,
1300,-2,3,4,
1301,0,2,2,
1302,-5,2,6,
1303,-1,0,1,
1304,1,4,3,
1305,-1,1,2,
1306,0,2,2,
1307,5,6,1,
1308,2,4,2,
1309,-1,2,3,
1310,3,5,2,
1311,-1,1,2,
1312,2,3,1,
1313,-1,1,2,
1314,-1,0,1,
1315,1,2,1,
1316,1,1,0,
1317,1,2,1,
1318,4,5,1,
1319,-7,0,6,
1320,4,7,3,
1321,0,2,2,
1322,-2,3,4,
1323,0,2,2,
1324,2,3,1,
1325,-1,1,2,
1326,1,3,2,
1327,2,3,1,
1328,-3,2,4,
1329,-2,1,3,
1330,-2,3,4,
1331,-3,2,4,
1332,2,3,1,
1333,-2,1,3,
1334,0,3,3,
1335,0,3,3,
1336,-3,3,5,
1337,1,4,3,
1338,-1,4,4,
1339,4,6,2,
1340,1,3,2,
1341,-2,1,3,
1342,6,7,1,
1343,1,4,3,
1344,-4,2,5,
1345,-1,2,3,
1346,-2,3,4,
1347,0,2,2,
1348,1,3,2,
1349,-4,3,6,
1350,2,4,2,
1351,-1,1,2,
1352,-6,0,5,
1353,0,2,2,
1354,-2,3,4,
1355,1,2,1,
1356,1,2,1,
1357,-1,2,3,
1358,0,1,1,
1359,1,3,2,
1360,3,5,2,
1361,-1,2,3,
1362,-1,4,4,
1363,-3,2,4,
1364,-3,2,4,
1365,6,6,0,
1366,-1,4,4,
1367,4,6,2,
1368,0,3,3,
1369,4,4,0,
1370,-3,2,4,
1371,8,8,0,
1372,0,2,2,
1373,3,6,3,
1374,1,7,5,
1375,1,3,2,
1376,3,5,2,
1377,-2,0,2,
1378,2,5,3,
1379,2,2,0,
1380,0,0,0,
1381,-7,2,8,
1382,2,5,3,
1383,3,3,0,
1384,3,4,1,
1385,2,5,3,
1386,-3,2,4,
1387,1,2,1,
1388,7,7,0,
1389,-4,3,6,
1390,1,4,3,
1391,3,6,3,
1392,-6,2,7,
1393,-3,2,4,
1394,2,3,1,
1395,-9,0,8,
1396,0,6,5,
1397,-2,3,4,
1398,2,4,2,
1399,2,3,1,
1400,-2,1,3,
1401,0,1,1,
1402,4,7,3,
1403,-1,2,3,
1404,3,5,2,
1405,5,6,1,
1406,1,3,2,
1407,-1,2,3,
1408,0,2,2,
1409,-5,1,5,
1410,7,7,0,
1411,3,4,1,
1412,3,4,1,
1413,3,5,2,
1414,-4,2,5,
1415,1,2,1,
1416,-1,2,3,
1417,5,6,1,
1418,-5,2,6,
1419,-3,3,5,
1420,0,3,3,
1421,1,2,1,
1422,0,3,3,
1423,1,3,2,
1424,2,2,0,
1425,1,3,2,
1426,5,5,0,
1427,4,5,1,
1428,1,2,1,
1429,1,4,3,
1430,-2,5,6,
1431,2,5,3,
1432,-3,0,3,
1433,0,3,3,
1434,3,4,1,
1435,0,1,1,
1436,-1,1,2,
1437,0,1,1,
1438,1,1,0,
1439,0,2,2,
1440,1,2,1,
1441,2,4,2,
1442,2,5,3,
1443,1,3,2,
1444,-3,0,3,
1445,1,4,3,
1446,0,2,2,
1447,-3,3,5,
